employee_id,name,email,age,hire_date,job_title,department,salary,status,termination_date,seniority,phone,national_id,gender,grade,bonus
EMP0001,unique person 0,kenza.smith@company.ma,10,2010-07-24,Manager,Operations,35249.43,Active,,15.8,0683197857,B954551,M,B,2000.00
EMP0002,UNIQUE PERSON 0,alice.smith@company.ma,11,2014-11-27,Consultant,Finance,28766.07,Inactive,,11.4,0683140807,B459370,M,B,2000.00
EMP0003,unique person 1,eve.martin@company.ma,12,2013-07-31,Director,Operations,15966.61,Active,,12.8,0623718431,B291752,M,A,2000.00
EMP0004,UNIQUE PERSON 1,frank.rousseau@company.ma,90,2015-12-07,Consultant,Finance,44005.28,Active,,10.4,0620576383,B219361,F,C,2000.00
EMP0005,unique person 2,jalil.müller@company.ma,11,2022-12-13,Analyst,Legal,16432.24,Active,,3.4,0620709497,B520245,F,A,2000.00
EMP0006,UNIQUE PERSON 2,hassan.müller@company.ma,95,2013-08-25,Manager,Legal,17878.18,Active,,12.7,0696977837,B519692,M,B,2000.00
EMP0007,unique person 3,imane.kim@company.ma,95,2013-08-31,Director,Legal,33461.99,Active,,12.7,0653524491,B578715,M,B,2000.00
EMP0008,UNIQUE PERSON 3,frank.alami@company.ma,100,2016-01-03,Consultant,Legal,19643.08,Active,,10.3,0677005685,B385037,M,A,2000.00
EMP0009,unique person 4,charlie.kim@company.ma,100,2022-08-04,Developer,HR,23852.05,Active,,3.7,0663606628,B976303,M,B,2000.00
EMP0010,UNIQUE PERSON 4,charlie.cohen@company.ma,90,2021-01-25,Analyst,Operations,31215.5,Active,,5.3,0666661351,B504452,F,A,2000.00
EMP0011,unique person 5,jalil.benali@company.ma,10,2021-11-13,Analyst,Legal,34666.71,Inactive,2025-11-29,4.5,0645812670,B823415,M,A,2000.00
EMP0012,UNIQUE PERSON 5,charlie.benali@company.ma,90,2010-01-27,Manager,HR,41767.23,Inactive,,16.3,0695758349,B991993,F,B,2000.00
EMP0013,unique person 6,frank.dupont@company.ma,12,2022-02-05,Consultant,IT,26078.41,Active,,4.2,0658718453,B601476,M,B,2000.00
EMP0014,UNIQUE PERSON 6,jalil.smith@company.ma,100,2011-12-03,Consultant,Operations,12750.48,Active,,14.4,0683793389,B938754,F,C,2000.00
EMP0015,unique person 7,jalil.alami@company.ma,11,2014-10-02,Developer,IT,22762.72,Active,,11.6,0697225156,B542226,M,A,2000.00
EMP0016,UNIQUE PERSON 7,hassan.smith@company.ma,10,2015-07-24,Director,Finance,29767.42,Active,,10.8,0688979095,B780364,F,A,2000.00
EMP0017,unique person 8,kenza.martin@company.ma,100,2015-02-19,Director,Finance,27023.78,Active,,11.2,0699788677,B935620,M,B,2000.00
EMP0018,UNIQUE PERSON 8,lina.rousseau@company.ma,90,2022-12-04,Engineer,Marketing,15045.17,Active,,3.4,0698447167,B274880,M,C,2000.00
EMP0019,unique person 9,hassan.martin@company.ma,48,2012-03-17,Developer,IT,37621.92,Active,,14.1,0643374088,B218548,F,B,2000.00
EMP0020,UNIQUE PERSON 9,charlie.alami@company.ma,38,2014-02-12,Manager,Finance,24395.84,Active,,12.2,0623141087,B238948,M,B,2000.00
EMP0021,unique person 10,bob.kim@company.ma,33,2013-09-24,Engineer,Operations,0,Active,,12.6,0632097220,B829987,M,A,2000.00
EMP0022,UNIQUE PERSON 10,eve.benali@company.ma,32,2016-05-25,Developer,Legal,0,Inactive,2024-07-13,9.9,0639219319,B861697,M,B,2000.00
EMP0023,unique person 11,alice.müller@company.ma,49,2011-04-14,Engineer,HR,0,Inactive,,15.0,0617634247,B161495,F,A,2000.00
EMP0024,UNIQUE PERSON 11,bob.rousseau@company.ma,40,2011-07-11,Analyst,HR,0,Active,,14.8,0615334035,B985364,F,A,2000.00
EMP0025,unique person 12,jalil.rousseau@company.ma,37,2021-09-22,Manager,Legal,0,Active,,4.6,0645650176,B267138,M,B,2000.00
EMP0026,UNIQUE PERSON 12,eve.benali@company.ma,48,2017-02-03,Engineer,HR,0,Active,,9.2,0619832887,B208751,F,B,2000.00
EMP0027,unique person 13,charlie.müller@company.ma,40,2011-07-18,Director,Operations,0,Active,,14.8,0650603163,B536236,F,B,2000.00
EMP0028,UNIQUE PERSON 13,imane.torres@company.ma,45,2012-04-28,Analyst,Finance,0,Active,,14.0,0646553958,B719446,M,B,2000.00
EMP0029,unique person 14,frank.kim@company.ma,28,2015-12-03,Director,Finance,0,Active,,10.4,0647135391,B606121,M,A,2000.00
EMP0030,UNIQUE PERSON 14,charlie.torres@company.ma,31,2013-08-16,Developer,Marketing,0,Inactive,,12.7,0630005727,B941235,F,A,2000.00
EMP0031,unique person 15,jalil.cohen@company.ma,32,2013-04-28,Analyst,IT,0,Active,,13.0,0658024342,,F,B,2000.00
EMP0032,UNIQUE PERSON 15,frank.cohen@company.ma,44,2019-02-12,Manager,Operations,0,Active,,7.2,0634073380,,M,A,2000.00
EMP0033,unique person 16,lina.kim@company.ma,44,2015-12-26,Engineer,Finance,0,Active,,10.3,0636786211,,M,C,2000.00
EMP0034,UNIQUE PERSON 16,diana.kim@company.ma,42,2010-07-13,Director,IT,0,Active,,15.8,0657130035,,F,A,2000.00
EMP0035,unique person 17,imane.müller@company.ma,46,2010-08-15,Manager,HR,0,Active,,15.7,0615134794,,M,B,2000.00
EMP0036,UNIQUE PERSON 17,lina.müller@company.ma,28,2019-10-15,Engineer,HR,9999,Active,,6.5,0668526649,,M,B,2000.00
EMP0037,unique person 18,imane.kim@company.ma,32,2018-03-03,Developer,IT,9999,Active,,8.2,0626726926,,M,B,2000.00
EMP0038,UNIQUE PERSON 18,grace.müller@company.ma,38,2019-01-10,Manager,Operations,9999,Inactive,,7.3,0633357554,,F,B,2000.00
EMP0039,unique person 19,imane.martin@company.ma,38,2016-10-25,Engineer,HR,9999,Active,,9.5,0672409658,,M,A,2000.00
EMP0040,UNIQUE PERSON 19,imane.benali@company.ma,47,2013-10-22,Consultant,Legal,9999,Active,,12.5,0622534217,,F,C,2000.00
EMP0041,alice martin,diana.dupont@company.ma,49,2010-07-20,Engineer,HR,39440.29,Active,,15.8,0671124923,,M,B,2000.00
EMP0042,BOB SMITH,lina.alami@company.ma,33,2021-02-01,Manager,Legal,33442.03,Active,,5.2,0667062156,,F,B,2000.00
EMP0043,charlie dupont,lina.cohen@company.ma,49,2020-06-02,Manager,Finance,24889.09,Inactive,,5.9,0681287314,,F,B,2000.00
EMP0044,DIANA KIM,hassan.rousseau@company.ma,32,2021-04-28,Engineer,Operations,35515.25,Inactive,,5.0,0644788100,,F,C,2000.00
